Gene	Synonymns	Description
ASNSP2	ASNSL2	asparagine synthetase pseudogene 2
ASPA	ACY2|ASP	aspartoacylase
ASPH	AAH|BAH|CASQ2BP1|FDLAB|HAAH|JCTN|junctin	aspartate beta-hydroxylase
ASS1	ASS|CTLN1	argininosuccinate synthase 1
ASS1P2	ASSP2	argininosuccinate synthetase 1 pseudogene 2
ASS1P4	ASSP4	argininosuccinate synthetase 1 pseudogene 4
ASS1P5	ASSP5	argininosuccinate synthetase 1 pseudogene 5
ASS1P6	ASSP6	argininosuccinate synthetase 1 pseudogene 6
ASS1P8	ASSP8	argininosuccinate synthetase 1 pseudogene 8
ASS1P9	ASSP9	argininosuccinate synthetase 1 pseudogene 9
ASS1P10	ASSP10	argininosuccinate synthetase 1 pseudogene 10
ASS1P14	ASSP14	argininosuccinate synthetase 1 pseudogene 14
ASTN1	ASTN	astrotactin 1
SERPINC1	AT3|AT3D|ATIII|ATIII-R2|THPH7	serpin family C member 1
ZFHX3	ATBF1|ATBT|ZNF927	zinc finger homeobox 3
ATD	ATD1	asphixiating thoracic dystrophy (chondroectodermal dysplasia-like syndrome)
ATF1	EWS-ATF1|FUS/ATF-1|TREB36	activating transcription factor 1
ATF3	-	activating transcription factor 3
ATF4	CREB-2|CREB2|TAXREB67|TXREB	activating transcription factor 4
ATF4P1	ATF4P|TAXREB67P|TXREBP	activating transcription factor 4 pseudogene 1
ATHS	ALP	atherosclerosis susceptibility (lipoprotein associated)
ATIC	AICAR|AICARFT|HEL-S-70p|IMPCHASE|PURH	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ATM	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	ATM serine/threonine kinase
RERE	ARG|ARP|ATN1L|DNB1|NEDBEH	arginine-glutamic acid dipeptide repeats
ATOH1	ATH1|HATH1|MATH-1|bHLHa14	atonal bHLH transcription factor 1
ATOX1	ATX1|HAH1	antioxidant 1 copper chaperone
ATP1A1	CMT2DD	ATPase Na+/K+ transporting subunit alpha 1
ATP1A2	FHM2|MHP2	ATPase Na+/K+ transporting subunit alpha 2
ATP1A3	AHC2|ATP1A1|CAPOS|DYT12|RDP	ATPase Na+/K+ transporting subunit alpha 3
ATP12A	ATP1AL1|HK	ATPase H+/K+ transporting non-gastric alpha2 subunit
ATP1A4	ATP1A1|ATP1AL2	ATPase Na+/K+ transporting subunit alpha 4
ATP1B1	ATP1B	ATPase Na+/K+ transporting subunit beta 1
ATP1B2	AMOG	ATPase Na+/K+ transporting subunit beta 2
ATP1B3	ATPB-3|CD298	ATPase Na+/K+ transporting subunit beta 3
ATP1B3P1	-	ATPase Na+/K+ transporting subunit beta 3 pseudogene 1
ATP1B1P1	ATP1BL1	ATPase Na+/K+ transporting subunit beta 1 pseudogene 1
FXYD2	ATP1G1|HOMG2	FXYD domain containing ion transport regulator 2
ATP2A1	ATP2A|SERCA1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1
ATP2A2	ATP2B|DAR|DD|SERCA2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ATP2A3	SERCA3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3
ATP2B1	PMCA1|PMCA1kb	ATPase plasma membrane Ca2+ transporting 1
ATP2B2	PMCA2|PMCA2a|PMCA2i	ATPase plasma membrane Ca2+ transporting 2
ATP2B3	CFAP39|CLA2|OPCA|PMCA3|PMCA3a|SCAX1	ATPase plasma membrane Ca2+ transporting 3
ATP2B4	ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x	ATPase plasma membrane Ca2+ transporting 4
ATP4A	ATP6A	ATPase H+/K+ transporting subunit alpha
ATP4B	ATP6B	ATPase H+/K+ transporting subunit beta
ATP5F1A	ATP5A|ATP5A1|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1	ATP synthase F1 subunit alpha
ALDH7A1	ATQ1|EPD|PDE	aldehyde dehydrogenase 7 family member A1
ATP5F1AP2	ATP5A1P2|ATP5AP2	ATP synthase F1 subunit alpha pseudogene 2
ATP5F1B	ATP5B|ATPMB|ATPSB|HEL-S-271	ATP synthase F1 subunit beta
ATP5F1BP1	ATP5BL1|ATP5BP1|ATPMBL1|ATPSBL1	ATP synthase F1 subunit beta pseudogene 1
ATP5F1C	ATP5C|ATP5C1|ATP5CL1	ATP synthase F1 subunit gamma
ATP5F1D	ATP5D|MC5DN5	ATP synthase F1 subunit delta
ATP5F1E	ATP5E|ATPE|MC5DN3	ATP synthase F1 subunit epsilon
ATP5PB	ATP5F1|PIG47	ATP synthase peripheral stalk-membrane subunit b
ATP5MC1	ATP5A|ATP5G|ATP5G1	ATP synthase membrane subunit c locus 1
ATP5MC2	ATP5A|ATP5G2	ATP synthase membrane subunit c locus 2
ATP5MC3	ATP5G3|P3	ATP synthase membrane subunit c locus 3
ATP5MC2P1	ATP5G2P1|ATP5GP1	ATP synthase membrane subunit c locus 2 pseudogene 1
ATP5ME	ATP5I|ATP5K	ATP synthase membrane subunit e
ATP5PF	ATP5|ATP5A|ATP5J|ATPM|CF6|F6	ATP synthase peripheral stalk subunit F6
ATP6V1A	ARCL2D|ATP6A1|ATP6V1A1|HO68|IECEE3|VA68|VPP2|Vma1	ATPase H+ transporting V1 subunit A
ATP6V1B1	ATP6B1|RTA1B|VATB|VMA2|VPP3	ATPase H+ transporting V1 subunit B1
ATP6V1B2	ATP6B1B2|ATP6B2|DOOD|HO57|VATB|VPP3|Vma2|ZLS2	ATPase H+ transporting V1 subunit B2
ATP6V0C	ATP6C|ATP6L|ATPL|VATL|VPPC|Vma3	ATPase H+ transporting V0 subunit c
ATP6V1C1	ATP6C|ATP6D|VATC|Vma5	ATPase H+ transporting V1 subunit C1
ATP6V1E1	ARCL2C|ATP6E|ATP6E2|ATP6V1E|P31|Vma4	ATPase H+ transporting V1 subunit E1
ATP6V0B	ATP6F|HATPL|VMA16	ATPase H+ transporting V0 subunit b
ATP6V1G2	ATP6G|ATP6G2|NG38|VMA10	ATPase H+ transporting V1 subunit G2
ATP6V0A1	ATP6N1|ATP6N1A|Stv1|VPP1|Vph1|a1	ATPase H+ transporting V0 subunit a1
ATP6AP1	16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3	ATPase H+ transporting accessory protein 1
ATP7A	DSMAX|MK|MNK|SMAX3	ATPase copper transporting alpha
ATP5PO	ATP5O|ATPO|HMC08D05|OSCP	ATP synthase peripheral stalk subunit OSCP
ATP7B	PWD|WC1|WD|WND	ATPase copper transporting beta
ALDH7A1P1	ATQL1	aldehyde dehydrogenase 7 family member A1 pseudogene 1
ALDH7A1P2	ATQL2	aldehyde dehydrogenase 7 family member A1 pseudogene 2
ALDH7A1P3	ATQL3	aldehyde dehydrogenase 7 family member A1 pseudogene 3
ALDH7A1P4	ATQL4	aldehyde dehydrogenase 7 family member A1 pseudogene 4
ATR	FCTCS|FRP1|MEC1|SCKL|SCKL1	ATR serine/threonine kinase
ATRX	JMS|MRX52|RAD54|RAD54L|XH2|XNP|ZNF-HX	ATRX, chromatin remodeler
KIF1A	ATSV|C2orf20|HSN2C|MRD9|SPG30|UNC104	kinesin family member 1A
AUH	-	AU RNA binding methylglutaconyl-CoA hydratase
AUP1	-	AUP1, lipid droplet regulating VLDL assembly factor
AVP	ADH|ARVP|AVP-NPII|AVRP|VP	arginine vasopressin
AVPR1A	AVPR V1a|AVPR1|V1aR	arginine vasopressin receptor 1A
AVPR1B	AVPR3|V1bR	arginine vasopressin receptor 1B
AVPR2	ADHR|DI1|DIR|DIR3|NDI|V2R	arginine vasopressin receptor 2
AXL	ARK|JTK11|Tyro7|UFO	AXL receptor tyrosine kinase
AZF1	AZF|AZFA|SP3	azoospermia factor 1
AZGP1	ZA2G|ZAG	alpha-2-glycoprotein 1, zinc-binding
AZU1	AZAMP|AZU|CAP37|HBP|HUMAZUR|NAZC|hHBP	azurocidin 1
B2M	IMD43	beta-2-microglobulin
B2MR	-	beta-2-microglobulin regulator
BAAT	BACAT|BAT	bile acid-CoA:amino acid N-acyltransferase
BACH1	BACH-1|BTBD24	BTB domain and CNC homolog 1
BAD	BBC2|BCL2L8	BCL2 associated agonist of cell death
BAG1	BAG-1|HAP|RAP46	BCL2 associated athanogene 1
BAGE	BAGE1|CT2.1	B melanoma antigen
ADGRB1	BAI1|GDAIF	adhesion G protein-coupled receptor B1
ADGRB2	BAI2	adhesion G protein-coupled receptor B2
ADGRB3	BAI3	adhesion G protein-coupled receptor B3
BAK1	BAK|BAK-LIKE|BCL2L7|CDN1	BCL2 antagonist/killer 1
NKX3-2	BAPX1|NKX3.2|NKX3B|SMMD	NK3 homeobox 2
BARD1	-	BRCA1 associated RING domain 1
BAX	BCL2L4	BCL2 associated X, apoptosis regulator
BBS1	BBS2L2	Bardet-Biedl syndrome 1
BBS2	BBS|RP74	Bardet-Biedl syndrome 2
BBS4	-	Bardet-Biedl syndrome 4
BCAT1	BCATC|BCT1|ECA39|MECA39|PNAS121|PP18	branched chain amino acid transaminase 1
BCAT2	BCAM|BCATM|BCT2|PP18	branched chain amino acid transaminase 2
BCHE	BCHED|CHE1|CHE2|E1	butyrylcholinesterase
BCKDHA	BCKDE1A|MSU|MSUD1|OVD1A	branched chain keto acid dehydrogenase E1, alpha polypeptide
BCKDHB	BCKDE1B|BCKDH E1-beta|E1B	branched chain keto acid dehydrogenase E1 subunit beta
CCND1	BCL1|D11S287E|PRAD1|U21B31	cyclin D1
BCL2	Bcl-2|PPP1R50	BCL2, apoptosis regulator
BCL2A1	ACC-1|ACC-2|ACC1|ACC2|BCL2L5|BFL1|GRS|HBPA1	BCL2 related protein A1
BCL2L1	BCL-XL/S|BCL2L|BCLX|Bcl-X|PPP1R52	BCL2 like 1
BCL2L2	BCL-W|BCL2-L-2|BCLW|PPP1R51	BCL2 like 2
BAK1P1	BAK2|BCL2L7P1|Bak-2	BCL2 antagonist/killer 1 pseudogene 1
BAK1P2	BAK3|BAK3P|BCL2L7P2	BCL2 antagonist/killer 1 pseudogene 2
BCL3	BCL4|D19S37	BCL3, transcription coactivator
BCL5	-	B cell CLL/lymphoma 5
BCL6	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	BCL6, transcription repressor
BCL7A	BCL7	BCL7A, BAF complex component
NBEAP1	BCL8|BCL8A	neurobeachin pseudogene 1
BCL9	LGS	BCL9, transcription coactivator
TNFRSF17	BCM|BCMA|CD269|TNFRSF13A	TNF receptor superfamily member 17
HCN2	BCNG-2|BCNG2|HAC-1	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2
OPN1SW	BCP|BOP|CBT	opsin 1, short wave sensitive
BCR	ALL|BCR1|CML|D22S11|D22S662|PHL	BCR, RhoGEF and GTPase activating protein
BCRP4	BCR-4|BCR4|BCRL4	breakpoint cluster region pseudogene 4
BCS1L	BCS|BCS1|BJS|FLNMS|GRACILE|Hs.6719|MC3DN1|PTD|h-BCS|h-BCS1	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone
BCYRN1	BC200|BC200a|LINC00004|NCRNA00004	brain cytoplasmic RNA 1
BCYRN1P1	BC200b	brain cytoplasmic RNA 1, pseudogene 1
BCYRN1P2	BC200g	brain cytoplasmic RNA 1, pseudogene 2
BDH1	BDH|SDR9C1	3-hydroxybutyrate dehydrogenase 1
BDKRB1	B1BKR|B1R|BDKRB2|BKB1R|BKR1|BRADYB1	bradykinin receptor B1
BDKRB2	B2R|BK-2|BK2|BKR2|BRB2	bradykinin receptor B2
BDNF	ANON2|BULN2	brain derived neurotrophic factor
BEVI	-	baboon M7 virus integration site
CFB	AHUS4|ARMD14|BF|BFD|CFAB|CFBD|FB|FBI12|GBG|H2-Bf|PBF2	complement factor B
BFSP1	CP115|CP94|CTRCT33|LIFL-H	beaded filament structural protein 1
BGLAP	BGP|OC|OCN	bone gamma-carboxyglutamate protein
BGN	DSPG1|MRLS|PG-S1|PGI|SEMDX|SLRR1A	biglycan
CEACAM1	BGP|BGP1|BGPI	carcinoembryonic antigen related cell adhesion molecule 1
BHMT	BHMT1|HEL-S-61p	betaine--homocysteine S-methyltransferase
BICD1	BICD|bic-D 1	BICD cargo adaptor 1
BID	FP497	BH3 interacting domain death agonist
BIK	BIP1|BP4|NBK	BCL2 interacting killer
PRDM1	BLIMP1|PRDI-BF1	PR/SET domain 1
BLK	MODY11	BLK proto-oncogene, Src family tyrosine kinase
BLM	BS|MGRISCE1|RECQ2|RECQL2|RECQL3	BLM RecQ like helicase
BLMH	BH|BMH	bleomycin hydrolase
CXCR5	BLR1|CD185|MDR15	C-X-C motif chemokine receptor 5
BLVRA	BLVR|BVR|BVRA	biliverdin reductase A
BLVRB	BVRB|FLR|HEL-S-10|SDR43U1	biliverdin reductase B
BNC1	BNC|BSN1|HsT19447	basonuclin 1
BMI1	FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1	BMI1 proto-oncogene, polycomb ring finger
BMP1	OI13|PCOLC|PCP|PCP2|TLD	bone morphogenetic protein 1
BMP2	BDA2|BMP2A|SSFSC	bone morphogenetic protein 2
BMP3	BMP-3A	bone morphogenetic protein 3
BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	bone morphogenetic protein 4
BMP5	-	bone morphogenetic protein 5
BMP6	VGR|VGR1	bone morphogenetic protein 6
BMP7	OP-1	bone morphogenetic protein 7
BMP8B	BMP8|OP2	bone morphogenetic protein 8b
BMPR1A	10q23del|ACVRLK3|ALK3|CD292|SKR5	bone morphogenetic protein receptor type 1A
BMPR1B	ALK-6|ALK6|AMDD|BDA1D|BDA2|CDw293	bone morphogenetic protein receptor type 1B
BMPR2	BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK	bone morphogenetic protein receptor type 2
BMX	ETK|PSCTK2|PSCTK3	BMX non-receptor tyrosine kinase
POLR3D	BN51T|RPC4|RPC53|TSBN51	RNA polymerase III subunit D
BNIP1	NIP1|SEC20|TRG-8	BCL2 interacting protein 1
BNIP2	BNIP-2|NIP2	BCL2 interacting protein 2
BNIP3	NIP3	BCL2 interacting protein 3
BNIP3L	BNIP3a|NIX	BCL2 interacting protein 3 like
BOK	BCL2L9|BOKL	BCL2 family apoptosis regulator BOK
DST	BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBSB2|HSAN6|MACF2	dystonin
FOXL2	BPES|BPES1|PFRK|PINTO|POF3	forkhead box L2
BPGM	DPGM	bisphosphoglycerate mutase
BPHL	BPH-RP|MCNAA|VACVASE	biphenyl hydrolase like
BPI	BPIFD1|rBPI	bactericidal permeability increasing protein
BRCA1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	BRCA1, DNA repair associated
BRAF	B-RAF1|B-raf|BRAF1|NS7|RAFB1	B-Raf proto-oncogene, serine/threonine kinase
BRCA2	BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11	BRCA2, DNA repair associated
BRDT	BRD6|CT9|SPGF21	bromodomain testis associated
ZFP36L1	BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1	ZFP36 ring finger protein like 1
ZFP36L2	BRF2|ERF-2|ERF2|RNF162C|TIS11D	ZFP36 ring finger protein like 2
BRS3	BB3|BB3R	bombesin receptor subtype 3
BSG	5F7|CD147|EMMPRIN|EMPRIN|OK|SLC7A11|TCSF	basigin (Ok blood group)
BST1	CD157	bone marrow stromal cell antigen 1
BST2	CD317|TETHERIN	bone marrow stromal cell antigen 2
BTC	-	betacellulin
BTD	-	biotinidase
KLF9	BTEB|BTEB1	Kruppel like factor 9
KLF5	BTEB2|CKLF|IKLF	Kruppel like factor 5
BTF3	BETA-NAC|BTF3a|BTF3b|NACB	basic transcription factor 3
BTF3P11	BTF3L1|HUMBTFB|OCIF|OPG|TNFRSF11B	basic transcription factor 3 pseudogene 11
BTF3P1	HUMBTFA	basic transcription factor 3, pseudogene 1
BTG1	APRO2	BTG anti-proliferation factor 1
BTK	AGMX1|AT|ATK|BPK|IGHD3|IMD1|PSCTK1|XLA	Bruton tyrosine kinase
BTN1A1	BT|BTN|BTN1	butyrophilin subfamily 1 member A1
BTS1	-	bladder tumor susceptibility 1
BUB1	BUB1A|BUB1L|hBUB1	BUB1 mitotic checkpoint serine/threonine kinase
BVR1	-	Burkitt lymphoma variant rearranging region 1
BUB1B	BUB1beta|BUBR1|Bub1A|MAD3L|MVA1|SSK1|hBUBR1	BUB1 mitotic checkpoint serine/threonine kinase B
BYSL	BYSTIN|Enp1	bystin like
TSPO	BPBS|BZRP|DBI|IBP|MBR|PBR|PBS|PKBS|PTBR|mDRC|pk18	translocator protein
C1QBP	COXPD33|GC1QBP|HABP1|SF2AP32|SF2p32|gC1Q-R|gC1qR|p32	complement C1q binding protein
SERPING1	C1IN|C1INH|C1NH|HAE1|HAE2	serpin family G member 1
ERC2-IT1	C1orf1|C3orf51|Po42	ERC2 intronic transcript 1
C1QA	-	complement C1q A chain
C1QB	-	complement C1q B chain
C1QC	C1Q-C|C1QG	complement C1q C chain
C1R	EDSPD1	complement C1r
C1S	EDSPD2	complement C1s
C2	ARMD14|CO2	complement C2
C3	AHUS5|ARMD9|ASP|C3a|C3b|CPAMD1|HEL-S-62p	complement C3
C3AR1	AZ3B|C3AR|HNFAG09	complement C3a receptor 1
C4A	C4|C4A2|C4A3|C4A4|C4A6|C4AD|C4S|CO4|CPAMD2|RG	complement C4A (Rodgers blood group)
C4B	C4B1|C4B12|C4B2|C4B3|C4B5|C4BD|C4B_2|C4F|CH|CO4|CPAMD3	complement C4B (Chido blood group)
C4BPA	C4BP|PRP	complement component 4 binding protein alpha
C4BPAP2	C4BPAL2	complement component 4 binding protein, alpha pseudogene 2
C4BPB	C4BP	complement component 4 binding protein beta
CAPN5	ADNIV|HTRA3|VRNI|nCL-3	calpain 5
C5	C5D|C5a|C5b|CPAMD4|ECLZB	complement C5
C5AR1	C5A|C5AR|C5R1|CD88	complement C5a receptor 1
C6	-	complement C6
C7	-	complement C7
C8A	-	complement C8 alpha chain
C8B	C82	complement C8 beta chain
C8G	C8C	complement C8 gamma chain
OSGIN2	C8orf1|hT41	oxidative stress induced growth inhibitor family member 2
C9	ARMD15|C9D	complement C9
VPS51	ANG2|ANG3|C11orf2|C11orf3|FFR	VPS51, GARP complex subunit
MRPL49	C11orf4|L49mt|MRP-L49|NOF|NOF1	mitochondrial ribosomal protein L49
ZNHIT2	C11orf5|FON	zinc finger HIT-type containing 2
MPPED2	239FB|C11orf8	metallophosphoesterase domain containing 2
MYRF	11orf9|C11orf9|MMERV|MRF|Ndt80|pqn-47	myelin regulatory factor
TMEM258	C11orf10	transmembrane protein 258
DAGLA	C11orf11|DAGL(ALPHA)|DAGLALPHA|NSDDR	diacylglycerol lipase alpha
GAS8-AS1	C16orf3	GAS8 antisense RNA 1
FMNL1	C17orf1|C17orf1B|FHOD4|FMNL|KW-13	formin like 1
LDLRAD4	C18orf1	low density lipoprotein receptor class A domain containing 4
PTTG1IP	C21orf1|C21orf3|PBF	PTTG1 interacting protein
CFAP410	C21orf2|LRRC76|RDMS|SMDAX|YF5/A2	cilia and flagella associated protein 410
TMEM50B	C21orf4|HCVP7TP3	transmembrane protein 50B
MPPED1	239AB|C22orf1|FAM1A	metallophosphoesterase domain containing 1
CA1	CA-I|CAB|Car1|HEL-S-11	carbonic anhydrase 1
CA2	CA-II|CAC|CAII|Car2|HEL-76|HEL-S-282	carbonic anhydrase 2
CA3	CAIII|Car3	carbonic anhydrase 3
CA4	CAIV|Car4|RP17	carbonic anhydrase 4
CA5A	CA5|CA5AD|CAV|CAVA|GS1-21A4.1	carbonic anhydrase 5A
CA5AP1	CA5P	carbonic anhydrase 5A pseudogene 1
CA6	CA-VI|GUSTIN	carbonic anhydrase 6
CA7	CA-VII|CAVII	carbonic anhydrase 7
CA8	CA-RP|CA-VIII|CALS|CAMRQ3|CARP	carbonic anhydrase 8
CA9	CAIX|MN	carbonic anhydrase 9
CA11	CA-RP|CA-RP II|CA-XI|CARP-2|CARPX1	carbonic anhydrase 11
CA12	CA-XII|CAXII|HsT18816|T18816	carbonic anhydrase 12
CACD	-	central areolar choroidal dystrophy
CACNA1A	APCA|BI|CACNL1A4|CAV2.1|EA2|EIEE42|FHM|HPCA|MHP|MHP1|SCA6	calcium voltage-gated channel subunit alpha1 A
CACNA1B	BIII|CACNL1A5|CACNN|Cav2.2|DYT23	calcium voltage-gated channel subunit alpha1 B
CACNA1C	CACH2|CACN2|CACNL1A1|CCHL1A1|CaV1.2|LQT8|TS	calcium voltage-gated channel subunit alpha1 C
CACNA1D	CACH3|CACN4|CACNL1A2|CCHL1A2|Cav1.3|PASNA|SANDD	calcium voltage-gated channel subunit alpha1 D
CACNA1E	BII|CACH6|CACNL1A6|Cav2.3|gm139	calcium voltage-gated channel subunit alpha1 E
CACNA1F	AIED|COD3|COD4|CORDX|CORDX3|CSNB2|CSNB2A|CSNBX2|Cav1.4|Cav1.4alpha1|JM8|JMC8|OA2	calcium voltage-gated channel subunit alpha1 F
CACNA1S	CACNL1A3|CCHL1A3|Cav1.1|HOKPP|HOKPP1|MHS5|TTPP1|hypoPP	calcium voltage-gated channel subunit alpha1 S
DDR1	CAK|CD167|DDR|EDDR1|HGK2|MCK10|NEP|NTRK4|PTK3|PTK3A|RTK6|TRKE	discoidin domain receptor tyrosine kinase 1
CACNA2D1	CACNA2|CACNL2A|CCHL2A|LINC01112|lncRNA-N3	calcium voltage-gated channel auxiliary subunit alpha2delta 1
CACNB1	CAB1|CACNLB1|CCHLB1	calcium voltage-gated channel auxiliary subunit beta 1
CACNB2	CACNLB2|CAVB2|MYSB	calcium voltage-gated channel auxiliary subunit beta 2
CACNB3	CAB3|CACNLB3	calcium voltage-gated channel auxiliary subunit beta 3
CACNB4	CAB4|CACNLB4|EA5|EIG9|EJM|EJM4|EJM6	calcium voltage-gated channel auxiliary subunit beta 4
CACNG1	CACNLG	calcium voltage-gated channel auxiliary subunit gamma 1
SLC25A20	CAC|CACT	solute carrier family 25 member 20
SLC25A20P1	CACTP|SLC25A20P	solute carrier family 25 member 20 pseudogene 1
CAD	CDG1Z|EIEE50|GATD4	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
CALB1	CALB|D-28K	calbindin 1
CALB2	CAB29|CAL2|CR	calbindin 2
S100G	CABP|CABP1|CABP9K|CALB3	S100 calcium binding protein G
CALCA	CALC1|CGRP|CGRP-I|CGRP1|CT|KC|PCT	calcitonin related polypeptide alpha
CALCB	CALC2|CGRP-II|CGRP2	calcitonin related polypeptide beta
CALCP	CALC3	calcitonin pseudogene
CALCR	CRT|CT-R|CTR|CTR1	calcitonin receptor
CALD1	CDM|H-CAD|HCAD|L-CAD|LCAD|NAG22	caldesmon 1
CALM1	CALML2|CAM2|CAM3|CAMB|CAMC|CAMI|CAMIII|CPVT4|DD132|LQT14|PHKD|caM	calmodulin 1
CALM1P1	CALML1	calmodulin 1 pseudogene 1
CALM1P2	-	calmodulin 1 pseudogene 2
CALM2	CALM|CALML2|CAM1|CAM3|CAMC|CAMII|CAMIII|LQT15|PHKD|PHKD2|caM	calmodulin 2
CALM2P2	-	calmodulin 2 pseudogene 2
CALM2P3	-	calmodulin 2 pseudogene 3
CALM3	CALM|CAM1|CAM2|CAMB|CaM|CaMIII|HEL-S-72|PHKD|PHKD3	calmodulin 3
CALML3	CLP	calmodulin like 3
CALR	CRT|HEL-S-99n|RO|SSA|cC1qR	calreticulin
CALU	-	calumenin
CAMK4	CaMK IV|CaMK-GR|caMK	calcium/calmodulin dependent protein kinase IV
CAMK2A	CAMKA|CaMKIINalpha|MRD53|MRT63	calcium/calmodulin dependent protein kinase II alpha
CAMK2B	CAM2|CAMK2|CAMKB|MRD54	calcium/calmodulin dependent protein kinase II beta
CAMK2D	CAMKD	calcium/calmodulin dependent protein kinase II delta
CAMK2G	CAMK|CAMK-II|CAMKG	calcium/calmodulin dependent protein kinase II gamma
CAMLG	CAML|GET2	calcium modulating ligand
CAMP	CAP-18|CAP18|CRAMP|FALL-39|FALL39|HSD26|LL37	cathelicidin antimicrobial peptide
CANX	CNX|IP90|P90	calnexin
CAPG	AFCP|HEL-S-66|MCP	capping actin protein, gelsolin like
CAPN1	CANP|CANP1|CANPL1|SPG76|muCANP|muCL	calpain 1
CAPN2	CANP2|CANPL2|CANPml|mCANP	calpain 2
CAPN3	CANP3|CANPL3|LGMD2|LGMD2A|LGMDD4|LGMDR1|nCL-1|p94	calpain 3
CAPNS1	CALPAIN4|CANP|CANPS|CAPN4|CDPS|CSS1	calpain small subunit 1
CAPN6	CANPX|CAPNX|CalpM|DJ914P14.1	calpain 6
CAPS	CAPS1	calcyphosine
CAPZA1	CAPPA1|CAPZ|CAZ1	capping actin protein of muscle Z-line subunit alpha 1
CAPZA2	CAPPA2|CAPZ	capping actin protein of muscle Z-line subunit alpha 2
CAST	BS-17|PLACK	calpastatin
CAPZB	CAPB|CAPPB|CAPZ	capping actin protein of muscle Z-line subunit beta
CARS	CARS1|CYSRS|MGC:11246	cysteinyl-tRNA synthetase
CASP1	ICE|IL1BC|P45	caspase 1
CASP2	CASP-2|ICH1|NEDD-2|NEDD2|PPP1R57	caspase 2
CASP3	CPP32|CPP32B|SCA-1	caspase 3
CASP4	ICE(rel)II|ICEREL-II|ICH-2|Mih1|Mih1/TX|TX	caspase 4
CASP5	ICE(rel)III|ICEREL-III|ICH-3	caspase 5
CASP6	MCH2	caspase 6
CASP7	CASP-7|CMH-1|ICE-LAP3|LICE2|MCH3	caspase 7
CASP8	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	caspase 8
CASP9	APAF-3|APAF3|ICE-LAP6|MCH6|PPP1R56	caspase 9
CASP10	ALPS2|FLICE2|MCH4	caspase 10
CASQ1	CASQ|PDIB1|VMCQA	calsequestrin 1
CASQ2	PDIB2	calsequestrin 2
CASR	CAR|EIG8|FHH|FIH|GPRC2A|HHC|HHC1|HYPOC1|NSHPT|PCAR1|hCasR	calcium sensing receptor
CAT	-	catalase
CATR1	-	CATR tumorigenicity conversion 1
CAV1	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21	caveolin 1
CAV2	CAV	caveolin 2
CAV3	LGMD1C|LQT9|MPDT|RMD2|VIP-21|VIP21	caveolin 3
RUNX2	AML3|CBF-alpha-1|CBFA1|CCD|CCD1|CLCD|OSF-2|OSF2|PEA2aA|PEBP2aA	runt related transcription factor 2
RUNX1	AML1|AML1-EVI-1|AMLCR1|CBF2alpha|CBFA2|EVI-1|PEBP2aB|PEBP2alpha	runt related transcription factor 1
RUNX1T1	AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	RUNX1 translocation partner 1
CBFA2T3	ETO2|MTG16|MTGR2|RUNX1T3|ZMYND4	CBFA2/RUNX1 translocation partner 3
RUNX3	AML2|CBFA3|PEBP2aC	runt related transcription factor 3
CBFB	PEBP2B	core-binding factor subunit beta
SERPINA6	CBG	serpin family A member 6
CBL	C-CBL|CBL2|FRA11B|NSLL|RNF55	Cbl proto-oncogene
CBLB	Cbl-b|Nbla00127|RNF56	Cbl proto-oncogene B
CBLN1	-	cerebellin 1 precursor
SERPINH1	AsTP3|CBP1|CBP2|HSP47|OI10|PIG14|PPROM|RA-A47|SERPINH2|gp46	serpin family H member 1
CBR1	CBR|SDR21C1|hCBR1	carbonyl reductase 1
CBR3	HEL-S-25|SDR21C2|hCBR3	carbonyl reductase 3
CBS	CBSL|HIP4	cystathionine-beta-synthase
CCA1	CTRCT7	cataract, congenital, cerulean type, 1
